t,x0,y0,d0,e0,a0,b0,x1,y1,d1,e1,a1,b1,x2,y2,d2,e2,a2,b2,x3,y3,d3,e3,a3,b3
0,1,1,3,0,2,0,14,1,0,0,2,2,14,14,1,0,2,0,1,14,2,0,2,1
1,1,1,0,0,2,0,14,1,1,0,2,1,14,14,2,0,2,1,1,14,3,0,2,2
2,1,1,0,0,3,0,14,1,1,0,3,1,14,14,2,0,3,1,1,14,3,0,3,2
3,1,1,0,0,3,1,14,1,1,0,3,2,14,14,2,0,3,1,1,14,3,0,3,0
4,1,1,0,0,3,0,14,1,1,0,3,2,14,14,2,0,3,1,1,14,3,0,3,1
5,1,1,0,0,3,1,14,1,1,0,3,2,14,14,2,0,3,1,1,14,3,0,3,1
6,1,1,0,0,3,1,14,1,1,0,3,1,14,14,2,0,3,1,1,14,3,0,3,0
7,1,1,0,0,3,1,14,1,1,0,3,2,14,14,2,0,3,0,1,14,3,0,3,0
8,1,1,1,0,2,1,14,1,2,0,2,1,14,14,3,0,2,1,1,14,0,0,2,1
9,2,1,1,0,3,1,14,2,2,1,3,1,13,14,3,1,3,2,1,13,0,1,3,1
10,3,1,1,1,3,2,14,3,2,1,3,2,12,14,3,2,3,2,1,12,0,1,3,1
11,4,1,1,2,3,0,14,4,2,2,3,0,11,14,3,2,3,0,1,11,0,2,3,1
12,4,1,2,2,2,1,14,4,3,2,2,1,11,14,0,2,2,1,1,11,1,2,2,1
13,4,2,2,3,3,1,13,4,3,2,3,1,11,13,0,3,3,0,2,11,1,3,3,0
14,4,2,3,3,2,1,13,4,0,2,2,1,11,13,1,3,2,1,2,11,2,3,2,0
15,3,2,3,3,3,2,13,3,0,3,3,0,12,13,1,4,3,2,2,12,2,4,3,0
16,2,2,3,3,3,1,13,2,0,4,3,1,13,13,1,5,3,1,2,13,2,5,3,2
17,1,2,3,4,3,1,13,1,0,5,3,1,14,13,1,6,3,2,2,14,2,5,3,0
18,1,2,3,4,3,1,13,1,0,5,3,0,14,13,1,6,3,1,2,14,2,5,3,1
19,1,2,3,4,3,2,13,1,0,5,3,1,14,13,1,6,3,1,2,14,2,5,3,1
20,1,2,3,4,3,2,13,1,0,5,3,1,14,13,1,6,3,2,2,14,2,5,3,0
